Italiano,English
queste,these
caso,case
forza,Force
dov',where to
tutte,all
pensi,think
signora,Lady
faccio,I do
nome,first name
avuto,had
problema,problem
altri,others
puo,can
aver,have
mondo,world
tutta,all
preso,taken 
nulla,Nothing
nostra,our
donna,woman
stare,to stay
basta,Enough
insieme,Together
faccia,face
ragazza,lass
subito,right away
famiglia,family
ragazzo,lad
volevo,I wanted
okay,okay
sentito,sense
ah,Ah
stesso,same
ragione,reason
sarà,will be
tuoi,your
capito,Understood
notte,Night
volte,times
testa,head
serve,serve
tesoro,treasure
sotto,under
eh,eh
suoi,his
vado,I go
sara,will be
dato,given
stiamo,we are
bella,Pretty
scusa,Excuse me
erano,they were
pensavo,I thought
avrei,I would have
prendere,take
buona,Good
porta,brings
bello,Handsome
moglie,wife
vorrei,I would like
storia,history
succede,happens
morto,died
cercando,looking for
dici,you say
persona,person
pronto,ready
meno,less
dovuto,due
avanti,after you
capisco,I understand
secondo,second
venire,come
polizia,police
lì,there
avrebbe,it would have
stanno,they are
mentre,While
letto,Bed
fino,until
dico,I say
amici,friends
fine,end
aiuto,help
paura,fear
fratello,Brother
stavo,I was
uomini,men
nell',in the'
domani,Tomorrow
facciamo,we do
abbastanza,Enough
capo,boss
amore,Love
nei,in the
ucciso,killed
state,state
piano,floor
macchina,machine
trovare,find
comunque,Anyway
vediamo,We see
giorni,days
nemmeno,neither
mano,hand
dall',from
presto,Soon
stati,States
merda,shit
far,do
bambino,child
andato,left
vedo,I see
tornare,return
quelle,those
cio,that is
primo,first
vostro,your
neanche,not even
sera,evening
giro,tour
morte,death
e',And'
qua,here
pensato,thought
buon,Good
anno,year
mie,my
diavolo,devil
quasi,Almost
piacere,Pleasure
bel,nice
dovrei,I should
nessun,no
contro,against
stessa,same
felice,happy
colpa,guilt
punto,point
andata,outward
dovrebbe,should
vedi,you see
quale,Which
chiesto,asked
invece,Instead
perchè,Why
migliore,improve
nostri,our
finito,finished
figlia,Daughter
dovresti,you should
papa,Pope
almeno,at least
sento,I feel
quei,those
col,with the
ore,hours
passato,past
magari,Perhaps
minuti,minutes
terra,Earth
vostra,your
strada,street
sola,lonely
credi,believe
importante,important
sue,his
salve,Greetings
settimana,week
perso,lost
uscire,go out
parlato,spoke
papà,Pope
stasera,this evening
scusi,Excuse me
dollari,dollars
occhi,eyes
mani,hands
ultima,last
possibile,possible
scuola,school
significa,it means
sapevo,I knew
nelle,in
potrei,I could
stava,was
bambini,children
eri,you was
importa,it matters
indietro,backwards
riesco,I am able to
sangue,blood
chiama,who loves
messo,put in order
piccolo,small
traduzione,translation
tardi,late
cuore,Heart
marito,Husband
viene,he comes
venuto,coming
ieri,Yesterday
spero,I hope
ricordi,memories
quelli,those
dovremmo,we should
lasciato,left
ascolta,Listen
difficile,difficult
quell',that'
auto,car
chiamato,called
ciò,that is
altre,other
parlando,speaking
pensare,think
fantastico,Fantastic
fatta,made
numero,number
veramente,Truly
fanno,they do
com',as
serio,serious
possa,can
fossi,dive
entrare,enter
anch',too
qualsiasi,any
pensa,thinks
dicendo,saying
acqua,waterfall
portato,carried
stanza,room
problemi,problems
forte,strong
nessuna,none
lascia,leaves
amo,I love
roba,stuff
agente,agent
dietro,behind
corpo,body
pare,it seems
sentire,feel
foto,photo
telefono,telephone
voleva,he wanted
poco,little
prendi,you take
piccola,small
vicino,Neighbor
quest',this
sacco,sack
stia,stia
capire,understand
potuto,could
cinque,five
strano,strange
tue,your
andando,going
donne,women
sappiamo,we know
bravo,good boy
ragazze,girls
festa,party
senso,sense
genere,type 
quattro,four
dare,give
attimo,moment
sorella,sister
pure,mashed potato
probabilmente,probably
film,movie
parla,speaks
ufficio,office
verso,towards
mesi,months
farti,make you
unica,unique
morire,die
signorina,Miss
vecchio,old
domanda,request
ben,well
guerra,war
dottore,doctor
conosco,I know
qual,that
vivere,live
vista,view
prova,trial
nuova,new
ricordo,I remember
divertente,fun
avessi,had
sicura,safe
paio,pair
conto,I count
perdere,LOSE
dimmi,Tell me
farmi,make me
figli,children
mezzo,half
lavorare,work
unico,unique
esattamente,Exactly
squadra,squad
esatto,Exactly
possono,can
fate,you do
faro,lighthouse
sapete,you know
dottor,Doctor
parola,word
piedi,feet
sopra,above
motivo,reason
avevi,you had
cavolo,cabbage
capitano,captain
finita,finite
volete,you want
siano,they are
potresti,you could
gioco,game
perfetto,Perfect
be,be
mente,mind
mangiare,eat
resto,rest
credere,believe
fortuna,fortune
tratta,deals with
chiamo,call
morta,dead
là,there
entrambi,both
avresti,you would have
passare,pass
cena,dinner
the,tea
sarei,I would be
controllo,check
affari,business
spiace,unpleasant
ultimo,last
facile,easy
farò,lighthouse
buongiorno,Good morning
davanti,in front of
tizio,guy
dammi,give me
sicurezza,safety
dalle,give her
quanti,how many
dica,say
matrimonio,marriage
john,John
vogliono,they want
molti,many
culo,ass
fuoco,fire
cercare,look for
pistola,pistol
potremmo,we could
re,king
mandato,mandate
puttana,whore
negli,in
cioe,Meaning what
inizio,start
saranno,they will be
causa,cause
voglia,wants
mettere,put
fammi,do for me
uccidere,kill
vogliamo,we want
faremo,we will do
però,However
genitori,parents
sesso,sex
potete,you can
ricevuto,received
vivo,I live
presidente,president
città,city
citta,city
succedendo,succeeding
ospedale,hospital
fu,was
agli,to
scritto,written
smettila,stop that
vada,go
attenzione,Attention
sulle,on
bere,drinking
situazione,situation
omicidio,homocide
revisione,revision
avesse,had
ottimo,Optimal
cura,treatment
durante,during
provato,tried
parole,words
lasciare,leave
dicono,they say
new,new
prossima,next
nostre,our
arrivato,arrived
paese,village
sull',on
andate,go
chiunque,whoever
capisci,you understand
pace,peace
immagino,I imagine
musica,music
tieni,keep
oddio,hate
jack,jack
libro,book
eravamo,we were
amica,friend
diventare,become
sui,on
sbagliato,wrong
dirmi,tell me
wow,wow
farai,you will do
entra,enter
venuta,coming
scelta,choice
voluto,wanted
portare,bring
assolutamente,absolutely
molte,many
chiedo,I ask
torna,back
scoperto,discovery
fatti,facts
settimane,weeks
dirlo,make him
alcuni,some
prigione,prison
giornata,day
piuttosto,rather
buono,Good
aspettare,wait
parli,you speak
arrivare,arrive
lungo,long
vede,see
avvocato,lawyer
deciso,decided
sarai,you will be
messaggio,message
dormire,sleep
dieci,ten
stupido,stupid
usare,use
dello,of the
cielo,sky
guardare,watch
bagno,bath
aria,air
voce,voice
tornato,got back
vuol,vuol
giù,below
conosci,you know
benissimo,Very well
prendo,I take
verita,truth
cane,dog
restare,remain
chiamare,call
poter,being able
campo,field
luce,light
sam,Sam
qualunque,anyone
giovane,young
signori,gentlemen
fra,between
provare,try
minuto,minute
saperlo,know it
lontano,distant
gruppo,group
continua,continues
arrivo,I arrive
gran,large
realta,reality
cerca,near
passo,step
domande,requests
insomma,In short
bambina,girl
pensando,think
capelli,hair
trova,finds
onore,honor
aiutare,help
verità,truth
prove,evidence
n',n '
funziona,works
alto,high
giu,below
credevo,I believed
futuro,future
preoccuparti,worry
idiota,idiot
cibo,food
fretta,rush
cara,Dear
finalmente,finally
morti,dead
odio,hate
solito,usual
brava,Good
é,And
incidente,accident
allo,at the
dev',it must
intenzione,intention
speciale,special
cambiare,change
vera,real
camera,room
oltre,beyond
semplice,simple
dirti,tell you
riguardo,regard
finche,until
aspetto,I wait
viaggio,voyage
chiaro,clear
chiamata,call
bocca,mouth
permesso,permit
piacerebbe,would like
dovete,you have to
giocare,play
ordine,order
circa,about
ovviamente,Obviously
finire,finish
piu',more'
natale,Christmas
i',the'
direi,I'd say
vostri,your
occhio,eye
pronta,ready
scusami,Excuse me
mattina,morning
cercato,looked for
crede,you think
sistema,system
york,York
fondo,bottom
resta,remain
devono,they have to
prossimo,next
pronti,ready
saputo,known
scusate,Excuse me
potere,candies
milioni,millions
soltanto,only
armi,weapons
arriva,he arrives
fermo,stopped
mese,month
chiedere,ask
cristo,Christ
torno,back
venite,come
controllare,check
appuntamento,appointment
s,sort
chiami,who do you Love
vecchia,old
detective,detective
pero,However
metti,you put
grado,grade
vanno,they go
nave,ship
iniziato,started
perche',Why'
informazioni,information
libero,free
stronzo,asshole
grandi,big
pezzo,piece
segreto,secret
colpo,hit
faceva,he did
piacciono,like
porto,port
oppure,or
completamente,completely
vederti,see you
lista,list
venga,come
veloce,fast
assassino,killer
sapeva,He knew
finché,until
tom,Tom
ormai,at this point
interessa,interest
generale,general
giusta,right
tenere,hold
pazzo,crazy
vittima,victim
giuro,I swear
consiglio,advise
michael,Michael
alcune,someone
semplicemente,simply
zio,Uncle
centro,center
specie,species
mille,one thousand
sogno,dream
lasci,leave
carino,cute
doveva,where you go
brutto,ugly
nello,in
aspetti,aspect
incredibile,incredible
sole,Sun
glielo,it
legge,law
spesso,Often
guardate,watch
cambiato,changed
scena,scene
volevi,you wanted
charlie,Charlie
lasciami,leave me
gentile,Kind
rispetto,respect
ve,ve
fara,will make
zitto,Shut up
incontro,encounter
farà,will make
servono,need
rapporto,relationship
errore,mistake
mike,Mike
sanno,they know
pagare,pay
sorpresa,surprise
occhiata,look
risposta,answer
presa,Jack
servizio,service
medico,doctor
usato,used
hey,Hey
caro,Dear
schifo,disgust
avrai,you will have
dolore,ache
saresti,would you be
personale,personnel
quali,which
saro,I will be
peggio,worse
addio,Goodbye
addosso,on
dovevo,I had to
poteva,he could
pieno,full
diverso,different
vestiti,clothes
sparato,shot
realtà,reality
do,do
sarò,I will be
normale,normal
fame,hunger
programma,plan
nonna,Grandmother
sappia,know
sembrava,It seemed
migliori,better
notizie,news
avevamo,we had
riesci,are able
posizione,position
vengo,I come
rimanere,stay
compagnia,company
proposito,purpose
farci,make us
joe,Joe
ricorda,remember
frank,Frank
prende,takes
tante,many
avevano,they had
arrivando,arriving
chiuso,closed
terribile,terrible
ritardo,delay
attento,careful
bar,Cafe
sembri,you look
fallo,just do it
dimenticato,forgotten
bisogna,must
impossibile,impossible
cioè,Meaning what
studio,study
stessi,same
arma,weapon
conosce,know
uscita,exit
ii,II
fin,fin
disse,She said
david,David
vattene,get out
quante,how much it is
guai,trouble
intorno,environment
video,video
manca,lacks
esserci,there
grosso,big
tanti,many
dolce,Sweet
chiave,key
cervello,brain
coraggio,courage
interessante,Interesting
